uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,date_time,dataset,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,SVC_C,SVC_kernel,SVC_max_iter,SVC_verbose,RidgeClassifier_alpha,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,SVC_degree
random_under,minmax,0.7,knn,20610424,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.200443319,0.269305394,0.23625289,0.024733454,1,1,1,0,0.333948826,0.424335066,0.381559036,0.032442774,0.986237995,0.992772743,0.989354608,0.002420996,0.873519914,0.916996047,0.894845342,0.015689007,0.729946524,0.796035529,0.762062798,0.02379255,5379,6450,,,,,,,,,,,,,,minkowski,6,distance,,,,,,,,,,,,,,,,,,,
adasyn,minmax,0.8,lr,8520258,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.112305854,0.176068376,0.139303249,0.021449124,0.407821229,0.593659942,0.497968684,0.065024376,0.179389313,0.271588662,0.217528587,0.0319845,0.66743533,0.756982515,0.704337516,0.032423114,0.112552175,0.163747466,0.132338979,0.01832041,0.724064171,0.760615251,0.738412675,0.012540572,9220,9350,,,,,,,,,,,,,,,,,,,20000,l2,lbfgs,,,,,,,,,,,,,,
,minmax,1,svm,4604013,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0,0.5,0.242857143,0.184943455,0,0.0129683,0.007492295,0.004241915,0,0.024456522,0.014330196,0.008051799,0.57814867,0.627622847,0.602297777,0.019873698,0.08312551,0.116895539,0.10546997,0.011624203,0.922227036,0.930398959,0.925557633,0.003199492,9220,9350,2.81,poly,25000,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
random_over,standard,0.8,xgb,7996987,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.391684902,0.480276817,0.439406281,0.031836092,1,1,1,0,0.562893082,0.648901356,0.609855196,0.030886965,0.999211431,0.999925696,0.999497561,0.000246464,0.989535904,0.998906355,0.993392811,0.003144591,0.879835747,0.918652513,0.906043565,0.013698265,9217,9349,,,,,,0,0.1,error,0.5,11,binary:logistic,19,41165,,,,,,,,,,,,,,,,,,,,,,
smote,standard,0.1,rf,20868424,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.963276836,0.992509363,0.97515281,0.010505242,0.370111732,0.560518732,0.447574047,0.069766843,0.539165819,0.709206928,0.610005488,0.062350231,0.990805544,0.994580146,0.992831735,0.001526349,0.905213955,0.940531672,0.921311836,0.01246194,0.951048195,0.965446274,0.958886715,0.004632413,6178,7151,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,gini,481,7,9,101,
random_under,standard,0.8,lr,7390814,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10437018,0.157327586,0.134425141,0.018837722,0.641390205,0.736311239,0.688715312,0.032423216,0.179526863,0.259259259,0.224664008,0.028217295,0.669166367,0.768764898,0.722952535,0.037547944,0.110594013,0.173039496,0.142457709,0.02295549,0.603101604,0.683708839,0.649969684,0.03200491,9220,9350,,,,,,,,,,,,,,,,,balanced,0.69530841,20000,elasticnet,saga,,,,,,,,,,,,,,
random_under,minmax,0.8,ridge,13057464,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.103464642,0.191914023,0.146262785,0.028671317,0.344391785,0.540345821,0.42939141,0.072169216,0.159124088,0.283232628,0.21797553,0.040894038,0.652595634,0.752102232,0.703266778,0.034704146,0.10272641,0.16658564,0.133867284,0.021285691,0.753582888,0.794143167,0.774585793,0.013089314,9220,9350,,,,,2.214998987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adasyn,minmax,0.3,rf,8799181,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.929307806,0.976705491,0.956700338,0.018806718,0.898044693,0.927330174,0.914455986,0.010230975,0.919155135,0.951377634,0.934978421,0.010365905,0.99813826,0.999346123,0.998693788,0.000425135,0.980975473,0.992173995,0.986447433,0.003717383,0.987960954,0.993582888,0.99065764,0.001865213,6686,7722,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,gini,494,2,7,173,
random_over,minmax,0.1,nb,18503592,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.078947368,0.218064516,0.161190039,0.045458374,0.047393365,0.528818444,0.374253776,0.176440635,0.05923001,0.301247772,0.218579918,0.083877134,0.699109129,0.779278331,0.740042769,0.027753566,0.112343673,0.200101579,0.156937527,0.028919495,0.771017938,0.898074866,0.823898424,0.045603756,9182,9338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smote,minmax,0.8,sgd,1231339,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.004268943,0.083316062,0.05606691,0.029946724,0.005763689,0.995305164,0.548076059,0.401127438,0.004904966,0.148022118,0.099930188,0.055987601,0.327062635,0.560366668,0.4641476,0.087519091,0.050716077,0.092979559,0.069489055,0.016468502,0.108521249,0.823969631,0.440393769,0.281309788,9220,9350,,,,,,,,,,,,,,,,,,,,,,1.775913391,TRUE,0.978498216,constant,squared_loss,l2,,,,,,,,
