metric,measure,k_fold_i,current__count_above_mean__5,"current__fft_coefficient__attr_""angle""__coeff_22__4","current__fft_coefficient__attr_""abs""__coeff_8__5",current__lempel_ziv_complexity__bins_3__3,"current__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""__3","current__fft_coefficient__attr_""real""__coeff_5__4","current__fft_coefficient__attr_""abs""__coeff_8__3","current__fft_coefficient__attr_""imag""__coeff_41__4","current__fft_coefficient__attr_""imag""__coeff_23__5","current__fft_coefficient__attr_""abs""__coeff_34__6"
average_precision,mean,3,0.17559804678258878,0.034048714646270226,0.23087452962057844,0.027626315687237838,0.31460565774633575,0.41117691372419085,0.14608827407825992,0.07124889424441422,0.13114444387642182,0.006255659578865336
average_precision,std,3,0.051416018514797206,0.01194392057569087,0.0452535512721164,0.01839646227965974,0.04017525833873432,0.025123018642793687,0.04002076677564395,0.01263627514540779,0.016652807525246796,0.007765376269659165
balanced_accuracy,mean,3,0.06506615450277425,-0.004059965855740485,0.16134229620145116,0.007501067008109286,0.26185979513444296,0.21874733247972686,0.12661118224498505,0.007154289372599247,0.004801536491677346,0.0035904822876654014
balanced_accuracy,std,3,0.004144004549414541,0.006664294252041348,0.039135275656734664,0.006231555737487876,0.02693414703700727,0.023079175749835697,0.03282782542580931,0.0099317035139796,0.009374958159799923,0.00840075108576337
accuracy,mean,4,0.12435129740518959,-0.0329840319361278,-0.05089820359281441,0.01736526946107779,-0.004141716566866316,-0.010479041916167709,-0.051996007984031964,0.0,0.00024950099800398934,0.0
accuracy,std,4,0.008116417409719552,0.004277759914201154,0.006570929828894804,0.002882141532573581,0.00850955698666636,0.006672460938302108,0.0057322277368360725,0.0,0.0005579011919909596,0.0
f1,mean,4,0.12330907749868028,-0.03429624166977641,-0.03265933596779677,0.018557967579150965,0.1747273600817035,0.09997783700883321,-0.02609672296427782,0.0,0.0002817771960442102,0.0
f1,std,4,0.010212027004828953,0.008026592291409,0.022811091341513066,0.0029093077201248372,0.03843045367029806,0.015993794802160247,0.02204407438670751,0.0,0.0006300729648641389,0.0
average_precision,mean,4,0.19381559569736878,0.04874370451831229,0.11163934455964525,-0.014916747962615919,0.2938373650985652,0.31776863587928655,0.09898016829480877,0.0,0.0010291213361437587,-2.9926184481238182e-05
average_precision,std,4,0.06589839381521909,0.029827012723752735,0.03858442319781724,0.014958681835724186,0.052507648042274535,0.030319051704044746,0.044259380891939246,0.0,0.0006542523125796959,0.0006675576951423233
