metric,measure,k_fold_i,current__autocorrelation__lag_9__4,"current__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""__3",current__index_mass_quantile__q_0.1__3,"current__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""__4","current__fft_coefficient__attr_""imag""__coeff_25__6",id__5,"current__fft_coefficient__attr_""abs""__coeff_70__6","current__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""__3",current__partial_autocorrelation__lag_1__5,current__index_mass_quantile__q_0.8__6
average_precision,std,3,0.0059045932310212365,0.005670297551828647,0.0016995331025177537,0.001530870130193061,0.012399876278108216,0.0014036971230753298,0.004136052384427545,0.006839630810977607,0.008063066375486145,0.0025487656960607734
balanced_accuracy,mean,3,-0.006039265898420809,-0.054113316261203574,-0.011806444728979949,-0.01901941954758857,0.004918907383696111,-0.011683738796414852,-0.005025608194622285,-0.05035744771660264,-0.011374306444728961,-0.020182458386683744
balanced_accuracy,std,3,0.004481611890055422,0.02234769521287361,0.011060275073155577,0.014273367318064077,0.012953271898738652,0.013292732895265029,0.013358707159102574,0.022598698369757496,0.002282599451339408,0.012950728235517784
accuracy,mean,4,0.0,0.0,0.0,0.0005489021956088284,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,std,4,0.0,0.0,0.0,0.0028791161151201067,0.0,0.0,0.0,0.0,0.0,0.0
f1,mean,4,0.0,0.0,0.0,-0.06954286792522085,0.0,0.0,0.0,0.0,0.0,0.0
f1,std,4,0.0,0.0,0.0,0.0666000443035277,0.0,0.0,0.0,0.0,0.0,0.0
average_precision,mean,4,0.09511970955742403,0.023613746619443134,0.031330336644107205,0.0022435487833093867,-0.0015112331311009106,0.00022895280764412458,-0.0018651070594339699,0.009416697007126941,0.0749254241084049,0.012094284099956781
average_precision,std,4,0.04374142725642093,0.04633845900276518,0.010331169213925363,0.03220091984164607,0.001770566484422676,0.0010132864992609015,0.0033019685216864655,0.04155939078669016,0.038736822982427754,0.019989068380415302
balanced_accuracy,mean,4,0.0,0.0,0.0,-0.01812511605138333,0.0,0.0,0.0,0.0,0.0,0.0
balanced_accuracy,std,4,0.0,0.0,0.0,0.019110090348494355,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,mean,5,-0.0879605826906598,-0.07219365895458439,-0.01053984575835476,0.008868894601542403,0.0013281919451585077,0.009040274207369314,0.016409597257926303,-0.061053984575835475,0.035132819194515844,-0.00968294772922023
accuracy,std,5,0.011647274363962023,0.01118613014485921,0.00678844980988461,0.003029894979989228,0.0017078947239069946,0.002726296190219895,0.002710088192093998,0.0110357854211019,0.004590606764688571,0.0022687578911523214
f1,mean,5,0.00021090258013700864,-0.013214336430105304,-0.005182343219842004,0.004098526495757416,0.0006233854279167061,0.0041781444355847635,0.007457901581799178,-0.0236360965458989,0.0224366285288782,-0.004703551391785348
f1,std,5,0.01786854180689503,0.014099875884357255,0.003386370517702987,0.001380553017839438,0.0008015574075434036,0.001237858873290055,0.00118423330790411,0.009400721182119995,0.007220092633084062,0.001128158459824277
average_precision,mean,5,0.20503159134539,0.2750547723712409,0.11644362890447112,0.15276737358371364,0.00930439200392719,0.009539967361866708,0.28455845106094946,0.25954978733553413,0.42078388645390474,0.009052203775150891
average_precision,std,5,0.054587646916469536,0.04656559126505749,0.04459134845298129,0.06390806860224597,0.013873479173028695,0.016132070426859435,0.04881295729086095,0.04783705229026729,0.009433383279022456,0.009381530916246621
balanced_accuracy,mean,5,0.08437462863933451,0.036580510992275675,-0.005481283422459926,0.004612299465240614,0.0006907308377896437,0.004701426024955406,0.00853386809269161,-0.002954545454545476,0.04173499702911466,-0.005035650623885934
balanced_accuracy,std,5,0.03534620190496287,0.02823984979532625,0.0035303569198464244,0.001575707416063905,0.0008881965877003021,0.0014178198101544518,0.001409390784391135,0.01754498132681217,0.02091337752728075,0.0011798754273506032
accuracy,mean,6,-0.037983193277310895,-0.0626890756302521,-0.05792717086834733,0.011708683473389384,-0.006610644257703057,0.002913165266106432,0.0003361344537815114,-0.0630812324929972,-0.0037535014005602107,-0.019215686274509775
accuracy,std,6,0.005847837916280052,0.006540241353467614,0.005055692626410529,0.004414409415818946,0.0033594766051686046,0.0020781217917077133,0.0006722689075630228,0.006373764774600721,0.0033524625883198044,0.00527355096895855
f1,mean,6,-0.01745506486641326,0.01132648478257837,-0.0749009976356208,0.011613266130785355,-0.007738402436408653,0.0032088990888661083,0.0003749531308586407,-0.04386773990653429,-0.004359181722785987,-0.012087437098880941
f1,std,6,0.024968872081062157,0.038178928843221986,0.011682198681796803,0.005797748913618491,0.004049841042591545,0.0022767919604804857,0.0007499062617172813,0.03505426464167247,0.0038985813956464504,0.013504956467052805
average_precision,mean,6,0.039804604638451174,0.09174120795379292,0.028218593745023727,0.10339529928715227,0.004199027599527929,-0.005797355094220637,-0.0013745103258345586,0.04456842907783078,-0.004717706689887126,0.03155171998708497
average_precision,std,6,0.0272133035050194,0.03339132985921546,0.014146417264167915,0.024950587267310427,0.0044307986858994385,0.0036419351064762994,0.0018760234149743371,0.0333144292369741,0.006804738742564273,0.017893792384497346
balanced_accuracy,mean,6,0.003939393939393961,0.03138383838383842,-0.021131313131313098,0.00565319865319868,-0.0035757575757575655,0.0015757575757576155,0.00018181818181819409,0.0019259259259259641,-0.002030303030303008,-0.0012121212121211902
balanced_accuracy,std,6,0.014808599859530275,0.017253718841528938,0.004958310022760579,0.0038222666526461927,0.0018171714364321,0.0011240749691510017,0.00036363636363638817,0.016628625770122352,0.0018133774909548153,0.008740769274621018
accuracy,mean,7,-0.0758488761358202,-0.08364418938307025,-0.033524629363940704,-0.08570062171209947,-0.0017216642754662836,0.002630320420851288,-0.0004782400765184214,-0.0812051649928264,-0.008895265423242456,0.0670492587278814
accuracy,std,7,0.00573569176492203,0.006167072213489358,0.0031320161320005707,0.00521171983771411,0.0008608321377331139,0.0012877008147141192,0.0010031648476041815,0.005769882785980163,0.0035992133375852254,0.005914729730747127
f1,mean,7,0.02034358027036937,-0.0868882729337176,-0.06176061773477441,-0.038036913812426056,-0.0025746935019118566,0.0038112562461646376,-0.0007168969282628297,-0.11859333151665744,-0.013989044610132877,0.07097579644796852
f1,std,7,0.07798376328259518,0.07198520603368788,0.007156100074147876,0.07168603091968392,0.0012965025881464666,0.0018474400148102864,0.0014847852044039707,0.05665957464967915,0.005956757618669692,0.004479943567132473
average_precision,mean,7,0.3440206670448155,0.2538859578546139,0.01791782987632754,0.3194898474818758,-0.00182663999876899,0.0013769582934180995,-0.000360539959378503,0.1975795958807907,0.008377083406661006,0.17336596474410165
average_precision,std,7,0.11315308289140837,0.07849760043183124,0.02444405553494122,0.09505623437346832,0.0018825480852376847,0.005698701775624677,0.0023460166785089294,0.08369306097254983,0.021595942278096122,0.08191572306279377
balanced_accuracy,mean,7,0.27094330400782024,0.18980612577386777,-0.017130987292277598,0.24960899315738028,-0.0008797653958944274,0.0013440860215053752,-0.00024437927663734094,0.13780547409579672,-0.004545454545454542,0.0342619745845553
balanced_accuracy,std,7,0.06622854990858247,0.0598218369290968,0.0016004510586542448,0.05391966992643136,0.00043988269794721364,0.0006580113400701979,0.0005126142952933287,0.04773938212583093,0.001839187460628227,0.0030224095471633105
accuracy,mean,8,-0.03883955002960328,-0.020959147424511528,-0.014920071047957359,0.0356423919478982,0.09046773238602726,0.07460035523978689,0.0785079928952043,-0.010716400236826502,-0.007045589105979829,0.0036116044997039983
accuracy,std,8,0.005121972469835916,0.006459766345523206,0.005811908202158927,0.004100246226922626,0.006878169677422183,0.0068485464729052675,0.00781527531083482,0.00637922258690122,0.004710184275476328,0.00515777777969738
f1,mean,8,-0.04383507588467769,-0.02183796468543607,-0.015138358712312372,0.029116162520383435,0.043597592158158546,0.03465005147538426,0.03749962685164462,-0.010739964181517313,-0.006924649246514049,0.0032454014105866456
