metric,measure,k_fold_i,current__index_mass_quantile__q_0.1__4,current__partial_autocorrelation__lag_3__5,"current__fft_coefficient__attr_""real""__coeff_57__5","current__fft_coefficient__attr_""abs""__coeff_87__6","current__fft_coefficient__attr_""abs""__coeff_35__1","current__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0__5","current__fft_coefficient__attr_""real""__coeff_4__5",current__large_standard_deviation__r_0.15000000000000002__6,"current__fft_coefficient__attr_""abs""__coeff_28__1","current__fft_coefficient__attr_""abs""__coeff_46__1"
accuracy,std,8,0.007665143918779003,0.005957258130541272,0.005915035810069874,0.006026583625860535,0.004487222101005658,0.0028450003023644628,0.00830266138012094,0.0,0.005968134144373511,0.004220315781455708
f1,mean,8,0.08869035037468963,0.12073100182978697,0.04920619679727802,0.13820718827921896,0.02910718089935637,-0.014275759902736296,0.1600404448352821,0.0,0.05234763133976373,-0.01611918757795768
f1,std,8,0.0450928351578185,0.040452335530238095,0.037666013641111364,0.0378154611371286,0.025844480806100266,0.013366245722316813,0.03680946044146967,0.0,0.03197118617701088,0.015615792551596492
average_precision,mean,8,0.2621798891926895,0.415303614679486,0.13089489181498473,0.4249220033967854,0.173120820647131,0.12656346193325527,0.4145310372266215,0.0,0.21975225409549892,0.3382425285780167
average_precision,std,8,0.050786874276430895,0.059984133384884175,0.04027498630351591,0.05820523554023129,0.052154370502503995,0.026927241990548075,0.07458124687067978,0.0,0.045143839884807066,0.04125274134727306
balanced_accuracy,mean,8,0.15953795779772015,0.15970672649365356,0.0764734416686879,0.16350755922063223,0.0744472067264937,0.006768938475220347,0.1144524617996605,0.0,0.07520009701673543,-0.0019059746139541978
balanced_accuracy,std,8,0.030295327239285692,0.03505366694592947,0.033023315502115506,0.03195712571694432,0.024101328662948184,0.010721922572480187,0.0385464926046168,0.0,0.02482677483991394,0.003729859031995644
accuracy,mean,9,0.08783783783783781,0.02277277277277277,0.01691691691691692,0.012412412412412399,0.013963963963963962,0.026276276276276263,0.04684684684684684,0.0,0.004254254254254234,0.010710710710710709
accuracy,std,9,0.008148326457186265,0.004749483406399333,0.004064852953803194,0.006736521064420928,0.003056333261415817,0.003237816614541707,0.006410315374008153,0.0,0.0036178258995998532,0.0023814569075816367
f1,mean,9,0.5580353901109819,0.16060707891803777,0.087177958580602,0.11080737327732855,0.07168404059459775,0.21249773952456327,0.4663017032348905,0.0,0.023620605187592698,0.05652579067872178
f1,std,9,0.04749326186398733,0.03179854125734107,0.020301058498841378,0.04586003596115514,0.015473166394850088,0.02771181013854058,0.05215527796911766,0.0,0.019456300523616108,0.0132120800619455
average_precision,mean,9,0.7043971297990097,0.23934866389986115,0.05486170696691482,0.2343817500345775,0.06069460075206382,0.2604805179285567,0.5268428304230129,0.0,0.04851603376329162,0.06105448652095203
average_precision,std,9,0.05483043162086501,0.04063257452530445,0.018212781983603203,0.04986043896993294,0.016516855450408565,0.023550854815742015,0.05344009141433439,0.0,0.011273170007274937,0.018031754107790236
balanced_accuracy,mean,9,0.35220330312774045,0.1177896326610153,0.02102455422391114,0.11611492740913963,0.013811750950014615,0.17211219916203835,0.3362418396180455,0.0,0.007205495469161072,0.012070057488063926
balanced_accuracy,std,9,0.031145823702734273,0.02355148809427335,0.010916201136811512,0.024666163281153005,0.008750375277189321,0.021617614754746706,0.028776343506053702,0.0,0.006111668459572194,0.009507106320411948
